#time magniutde filter
58.0 20.67 z
59.0 19.51 g
59.0 20.4 i
59.0 20.01 r
59.0 19.05 u
59.0 20.92 y
59.0 20.69 z
60.0 19.53 g
60.0 20.42 i
60.0 20.03 r
60.0 19.06 u
60.0 20.94 y
60.0 20.71 z
61.0 19.55 g
61.0 20.44 i
61.0 20.05 r
61.0 19.08 u
61.0 20.96 y
61.0 20.73 z
62.0 19.56 g
62.0 20.45 i
62.0 20.07 r
62.0 19.1 u
62.0 20.98 y
62.0 20.75 z
63.0 19.58 g
63.0 20.47 i
63.0 20.09 r
63.0 19.12 u
63.0 20.99 y
63.0 20.77 z
64.0 19.6 g
64.0 20.49 i
64.0 20.1 r
64.0 19.13 u
64.0 21.01 y
64.0 20.78 z
65.0 19.62 g
65.0 20.51 i
65.0 20.12 r
65.0 19.15 u
65.0 21.03 y
65.0 20.8 z
66.0 19.64 g
66.0 20.53 i
66.0 20.14 r
66.0 19.17 u
66.0 21.05 y
66.0 20.82 z
67.0 19.65 g
67.0 20.54 i
67.0 20.16 r
67.0 19.18 u
67.0 21.07 y
67.0 20.84 z
68.0 19.67 g
68.0 20.56 i
68.0 20.18 r
68.0 19.2 u
68.0 21.08 y
68.0 20.85 z
69.0 19.69 g
69.0 20.58 i
69.0 20.19 r
69.0 19.22 u
69.0 21.1 y
69.0 20.87 z
70.0 19.7 g
70.0 20.6 i
70.0 20.21 r
70.0 19.23 u
70.0 21.12 y
70.0 20.89 z
71.0 19.72 g
71.0 20.61 i
71.0 20.23 r
71.0 19.25 u
71.0 21.14 y
71.0 20.91 z
72.0 19.74 g
72.0 20.63 i
72.0 20.24 r
72.0 19.27 u
72.0 21.15 y
72.0 20.92 z
73.0 19.75 g
73.0 20.65 i
73.0 20.26 r
73.0 19.28 u
73.0 21.17 y
73.0 20.94 z
74.0 19.77 g
74.0 20.66 i
74.0 20.28 r
74.0 19.3 u
74.0 21.19 y
74.0 20.96 z
75.0 19.79 g
75.0 20.68 i
75.0 20.29 r
75.0 19.32 u
75.0 21.2 y
75.0 20.97 z
76.0 19.8 g
76.0 20.7 i
76.0 20.31 r
76.0 19.33 u
76.0 21.22 y
76.0 20.99 z
77.0 19.82 g
77.0 20.71 i
77.0 20.33 r
77.0 19.35 u
77.0 21.24 y
77.0 21.01 z
78.0 19.83 g
78.0 20.73 i
78.0 20.34 r
78.0 19.36 u
78.0 21.25 y
78.0 21.02 z
79.0 19.85 g
79.0 20.74 i
79.0 20.36 r
79.0 19.38 u
79.0 21.27 y
79.0 21.04 z
80.0 19.87 g
80.0 20.76 i
80.0 20.37 r
80.0 19.39 u
80.0 21.28 y
80.0 21.05 z
81.0 19.88 g
81.0 20.78 i
81.0 20.39 r
81.0 19.41 u
81.0 21.3 y
81.0 21.07 z
82.0 19.9 g
82.0 20.79 i
82.0 20.4 r
82.0 19.42 u
82.0 21.32 y
82.0 21.09 z
83.0 19.91 g
83.0 20.81 i
83.0 20.42 r
83.0 19.44 u
83.0 21.33 y
83.0 21.1 z
84.0 19.93 g
84.0 20.82 i
84.0 20.43 r
84.0 19.45 u
84.0 21.35 y
84.0 21.12 z
85.0 19.94 g
85.0 20.84 i
85.0 20.45 r
85.0 19.47 u
85.0 21.36 y
85.0 21.13 z
86.0 19.96 g
86.0 20.85 i
86.0 20.46 r
86.0 19.48 u
86.0 21.38 y
86.0 21.15 z
87.0 19.97 g
87.0 20.87 i
87.0 20.48 r
87.0 19.5 u
87.0 21.39 y
87.0 21.16 z
88.0 19.98 g
88.0 20.88 i
88.0 20.49 r
88.0 19.51 u
88.0 21.41 y
88.0 21.18 z
89.0 20.0 g
89.0 20.9 i
89.0 20.51 r
89.0 19.53 u
89.0 21.42 y
89.0 21.19 z
90.0 20.01 g
90.0 20.91 i
90.0 20.52 r
90.0 19.54 u
90.0 21.44 y
90.0 21.21 z
91.0 20.03 g
91.0 20.93 i
91.0 20.54 r
91.0 19.55 u
91.0 21.45 y
91.0 21.22 z
92.0 20.04 g
92.0 20.94 i
92.0 20.55 r
92.0 19.57 u
92.0 21.47 y
92.0 21.24 z
93.0 20.06 g
93.0 20.95 i
93.0 20.57 r
93.0 19.58 u
93.0 21.48 y
93.0 21.25 z
94.0 20.07 g
94.0 20.97 i
94.0 20.58 r
94.0 19.59 u
94.0 21.49 y
94.0 21.26 z
95.0 20.08 g
95.0 20.98 i
95.0 20.59 r
95.0 19.61 u
95.0 21.51 y
95.0 21.28 z
96.0 20.1 g
96.0 21.0 i
96.0 20.61 r
96.0 19.62 u
96.0 21.52 y
96.0 21.29 z
97.0 20.11 g
97.0 21.01 i
97.0 20.62 r
97.0 19.64 u
97.0 21.54 y
97.0 21.31 z
98.0 20.12 g
98.0 21.02 i
98.0 20.64 r
98.0 19.65 u
98.0 21.55 y
98.0 21.32 z
99.0 20.14 g
99.0 21.04 i
99.0 20.65 r
99.0 19.66 u
99.0 21.56 y
99.0 21.33 z
100.0 20.15 g
100.0 21.05 i
100.0 20.66 r
100.0 19.67 u
100.0 21.58 y
100.0 21.35 z
101.0 20.16 g
101.0 21.07 i
101.0 20.68 r
101.0 19.69 u
101.0 21.59 y
101.0 21.36 z
102.0 20.18 g
102.0 21.08 i
102.0 20.69 r
102.0 19.7 u
102.0 21.6 y
102.0 21.37 z
103.0 20.19 g
103.0 21.09 i
103.0 20.7 r
103.0 19.71 u
103.0 21.62 y
103.0 21.39 z
104.0 20.2 g
104.0 21.11 i
104.0 20.72 r
104.0 19.73 u
104.0 21.63 y
104.0 21.4 z
105.0 20.22 g
105.0 21.12 i
105.0 20.73 r
105.0 19.74 u
105.0 21.64 y
105.0 21.41 z
106.0 20.23 g
106.0 21.13 i
106.0 20.74 r
106.0 19.75 u
106.0 21.66 y
106.0 21.43 z
107.0 20.24 g
107.0 21.14 i
107.0 20.75 r
107.0 19.76 u
107.0 21.67 y
107.0 21.44 z
108.0 20.25 g
108.0 21.16 i
108.0 20.77 r
108.0 19.78 u
108.0 21.68 y
108.0 21.45 z
109.0 20.27 g
109.0 21.17 i
109.0 20.78 r
109.0 19.79 u
109.0 21.7 y
109.0 21.47 z
110.0 20.28 g
110.0 21.18 i
110.0 20.79 r
110.0 19.8 u
110.0 21.71 y
110.0 21.48 z
111.0 20.29 g
111.0 21.2 i
111.0 20.81 r
111.0 19.81 u
111.0 21.72 y
111.0 21.49 z
112.0 20.3 g
112.0 21.21 i
112.0 20.82 r
112.0 19.83 u
112.0 21.73 y
112.0 21.5 z
113.0 20.32 g
113.0 21.22 i
113.0 20.83 r
113.0 19.84 u
113.0 21.75 y
113.0 21.52 z
114.0 20.33 g
114.0 21.23 i
114.0 20.84 r
114.0 19.85 u
114.0 21.76 y
114.0 21.53 z
115.0 20.34 g
115.0 21.25 i
115.0 20.85 r
115.0 19.86 u
115.0 21.77 y
115.0 21.54 z
116.0 20.35 g
116.0 21.26 i
116.0 20.87 r
116.0 19.87 u
116.0 21.78 y
116.0 21.55 z
117.0 20.37 g
117.0 21.27 i
117.0 20.88 r
117.0 19.89 u
117.0 21.8 y
